"","LHS","RHS","support","confidence","lift","count"
"1","{Smart Light Bulb}","{iMac}",0.00925266903914591,0.522988505747126,2.04191820326439,91
"2","{Computer Game,iMac}","{HP Laptop}",0.00864260294865277,0.521472392638037,2.68657987511529,85
"3","{Epson Printer,HP Laptop}","{iMac}",0.00976105744789019,0.545454545454545,2.12963297123678,96
"4","{ASUS 2 Monitor,Dell Desktop}","{iMac}",0.0090493136756482,0.631205673758865,2.46443342652578,89
"5","{ASUS 2 Monitor,Lenovo Desktop Computer}","{iMac}",0.0108795119471276,0.591160220994475,2.308082879508,107
"6","{ASUS 2 Monitor,HP Laptop}","{iMac}",0.0110828673106253,0.582887700534759,2.27578425357656,109
"7","{HP Laptop,Logitech 3-button Mouse}","{iMac}",0.00935434672089476,0.5,1.95216355696705,92
"8","{ASUS Monitor,ViewSonic Monitor}","{iMac}",0.00823589222165735,0.637795275590551,2.49016138762726,81
"9","{ASUS Monitor,Lenovo Desktop Computer}","{iMac}",0.00976105744789019,0.631578947368421,2.46589080880048,96
"10","{ASUS Monitor,HP Laptop}","{iMac}",0.0117946110828673,0.582914572864322,2.27588917194149,116
"11","{Microsoft Office Home and Student 2016,ViewSonic Monitor}","{iMac}",0.00894763599389934,0.590604026845638,2.30591131561209,88
"12","{Dell Desktop,Microsoft Office Home and Student 2016}","{iMac}",0.00945602440264362,0.6,2.34259626836046,93
"13","{Lenovo Desktop Computer,Microsoft Office Home and Student 2016}","{iMac}",0.00894763599389934,0.533333333333333,2.08230779409819,88
"14","{HP Laptop,Microsoft Office Home and Student 2016}","{iMac}",0.0129130655821047,0.552173913043478,2.15586758030274,127
"15","{HP Laptop,HP Monitor}","{iMac}",0.010574478901881,0.502415458937198,1.96159429878815,104
"16","{Apple Magic Keyboard,ViewSonic Monitor}","{HP Laptop}",0.00874428063040163,0.502923976608187,2.59102006806785,86
"17","{Apple Magic Keyboard,ViewSonic Monitor}","{iMac}",0.00955770208439248,0.549707602339181,2.14623829654857,94
"18","{Apple Magic Keyboard,Dell Desktop}","{HP Laptop}",0.00965937976614133,0.555555555555556,2.86217333100518,95
"19","{Apple Magic Keyboard,Dell Desktop}","{iMac}",0.0101677681748856,0.584795321637427,2.28323223037082,100
"20","{Apple Magic Keyboard,Lenovo Desktop Computer}","{iMac}",0.0113879003558719,0.516129032258065,2.01513657493373,112
"21","{Apple Magic Keyboard,HP Laptop}","{iMac}",0.0147432638535841,0.51056338028169,1.99340644901565,145
"22","{3-Button Mouse,Dell Desktop}","{iMac}",0.00884595831215048,0.502890173410405,1.96344773937726,87
"23","{3-Button Mouse,Lenovo Desktop Computer}","{iMac}",0.00945602440264362,0.519553072625698,2.02850514858029,93
"24","{Acer Aspire,ViewSonic Monitor}","{HP Laptop}",0.0107778342653787,0.602272727272727,3.10285608838516,106
"25","{Acer Aspire,ViewSonic Monitor}","{iMac}",0.00935434672089476,0.522727272727273,2.04089826410192,92
"26","{Dell Desktop,Samsung Monitor}","{iMac}",0.00894763599389934,0.530120481927711,2.06976377124217,88
"27","{Acer Desktop,ViewSonic Monitor}","{HP Laptop}",0.00976105744789019,0.527472527472527,2.71749204174558,96
"28","{Acer Desktop,ViewSonic Monitor}","{iMac}",0.0100660904931368,0.543956043956044,2.12378233120591,99
"29","{Acer Desktop,Lenovo Desktop Computer}","{iMac}",0.0123029994916116,0.530701754385965,2.07203324906152,121
"30","{Acer Desktop,HP Laptop}","{iMac}",0.0159633960345704,0.511400651465798,1.99667542960148,157
"31","{Dell Desktop,ViewSonic Monitor}","{HP Laptop}",0.0152516522623284,0.574712643678161,2.96086896310881,150
"32","{Dell Desktop,ViewSonic Monitor}","{iMac}",0.0147432638535841,0.555555555555556,2.16907061885228,145
"33","{CYBERPOWER Gamer Desktop,ViewSonic Monitor}","{HP Laptop}",0.0122013218098627,0.502092050209205,2.5867340564733,120
"34","{CYBERPOWER Gamer Desktop,ViewSonic Monitor}","{iMac}",0.0128113879003559,0.527196652719665,2.05834818558869,126
"35","{Lenovo Desktop Computer,ViewSonic Monitor}","{iMac}",0.0157600406710727,0.555555555555556,2.16907061885228,155
"36","{Dell Desktop,Lenovo Desktop Computer}","{iMac}",0.0186070157600407,0.506925207756233,1.97920183337934,183
"37","{HP Laptop,Lenovo Desktop Computer}","{iMac}",0.0230808337569903,0.5,1.95216355696705,227
"38","{Dell Desktop,HP Laptop,ViewSonic Monitor}","{iMac}",0.00874428063040163,0.573333333333333,2.23848087865555,86
"39","{Dell Desktop,iMac,ViewSonic Monitor}","{HP Laptop}",0.00874428063040163,0.593103448275862,3.05561676992829,86
"40","{HP Laptop,Lenovo Desktop Computer,ViewSonic Monitor}","{iMac}",0.00843924758515506,0.601449275362319,2.34825471345312,83
"41","{iMac,Lenovo Desktop Computer,ViewSonic Monitor}","{HP Laptop}",0.00843924758515506,0.535483870967742,2.75876577840112,83
"42","{Dell Desktop,HP Laptop,Lenovo Desktop Computer}","{iMac}",0.00884595831215048,0.587837837837838,2.29511120886667,87
